20,100
3,54
39,61
56,72
9,59
79,76
94,10
20,60
60,64
39,96
32,78
44,38
26,48
26,62
28,23
37,80
74,31
58,64
78,77
62,98
31,7
1,74
46,98
11,52
1,18
36,37
58,20
4,4
81,11
43,79
60,2
93,68
99,16
79,3
30,24
71,62
100,59
10,54
69,59
86,29
91,77
20,59
1,3
52,99
28,66
94,32
17,12
4,83
66,44
31,24
50,86
5,35
49,47
35,10
19,51
46,51
17,7
62,17
94,76
62,65
91,46
11,8
76,44
14,10
31,18
73,79
17,53
10,74
82,7
60,10
70,64
10,62
97,47
54,31
14,36
45,63
21,100
34,88
61,74
62,76
86,71
63,36
84,48
49,26
95,66
94,94
10,45
52,47
86,87
59,82
79,75
15,62
59,82
80,27
73,94
56,4
73,74
80,63
94,2
36,82
